6PGD,HTM,Up,12757,Pancreatic Cancer,Carcinoma,PANC-1,NA,SFA followed by Proteomics,0.08,0.0011,27746256
A1CF,HTM,Up,24086,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0032,25881239
A1CF,HTM,Down,24086,Hepatic Cancer,Carcinoma,Hep3B,NA,SFA followed by Transcriptomics,0.04,0.0032,26259570
A1CF,HTM,Down,24086,Hepatic Cancer,Carcinoma,Huh7,NA,SFA followed by Transcriptomics,0.04,0.0032,26259570
A1CF,HTM,Up,24086,Dukes Type C Colon Cancer,Adenocarcinoma,SW620,NA,FACs for CSC marker and CFA followed by Transcriptomics,0.04,0.0032,22954703
A2M,HTM,Down,7,Non Small Cell Lung Cancer,Squamous Cell Carcinoma,H292,NA,SFA followed by Transcriptomics,0.04,0.0032,34059086
A2M,HTM,Up,7,Luminal A Breast Cancer,Adenocarcinoma,MCF7,NA,SFA and FACs for CSC marker followed by Transcriptomics ,0.04,0.0032,34680485
A2M,HTM,Up,7,Pancreatic Cancer,Carcinoma,PANC-1,NA,SFA followed by Proteomics,0.08,0.0032,27746256
A2ML1,HTM,Down,23336,Triple Negative Breast Cancer,Carcinoma,SUM149PT,NA,FACs for CSC marker followed by Transcriptomics,0.04,0.0011,31709178
AAGAB,HTM,Up,25662,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0011,25881239
AAMP,HTM,Down,18,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0021,34059086
AAMP,HTM,Up,18,Hepatic Cancer,Carcinoma,Huh7,Zebularine,SP assay followed by SFA and Transcriptomics,0.04,0.0021,21618577
AAMP,HTM,Up,18,Hepatic Cancer,Carcinoma,KMCH-1,Zebularine,SP assay followed by SFA and Transcriptomics,0.04,0.0021,21618577
AAMP,HTM,Up,18,Hepatic Cancer,NA,WRL68,Zebularine,SP assay followed by SFA and Transcriptomics,0.04,0.0021,21618577
AARD,HTM,Down,33842,Non Small Cell Lung Cancer,Squamous Cell Carcinoma,H292,NA,SFA followed by Transcriptomics,0.04,0.0021,34059086
AARD,HTM,Down,33842,Triple Negative Breast Cancer,Carcinoma,SUM149PT,NA,FACs for CSC marker followed by Transcriptomics,0.04,0.0021,31709178
AARS1,HTM,Up,20,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0032,25881239
AARS1,HTM,Up,20,Pancreatic Cancer,Adenosquamous Cell Carcinoma,L3.6pl,NA,SFA followed by Proteomics,0.08,0.0032,32503348
AARS1,HTM,Up,20,Pancreatic Cancer,Adenosquamous Cell Carcinoma,L3.6sl,NA,SFA followed by Proteomics,0.08,0.0032,32503348
AARS1,HTM,Up,20,Pancreatic Cancer,Carcinoma,MIA-PaCa-2,NA,SFA followed by Proteomics,0.08,0.0032,34168259
AARS1,HTM,Up,20,Pancreatic Cancer,Carcinoma,MIA-PaCa-3,NA,SFA followed by Proteomics,0.08,0.0032,34168259
AASS,HTM,Down,17366,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0011,25881239
AASS,HTM,Down,17366,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0011,25881239
AASS,HTM,Down,17366,Non Small Cell Lung Cancer,Squamous Cell Carcinoma,H2170,NA,SFA followed by Transcriptomics,0.04,0.0011,25881239
AATK,HTM,Down,21,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0011,34059086
ABAT,HTM,Down,23,Triple Negative Breast Cancer,Ductal Carcinoma,HCC1937,NA,FACs for CSC marker followed by Transcriptomics,0.04,0.0011,31709178
ABCA1,HTM,Up,29,Bladder Cancer,Carcinoma,5637,NA,SFA followed by Transcriptomics,0.04,0.0032,30592142
ABCA1,HTM,Up,29,Triple Negative Breast Cancer,Ductal Carcinoma,HCC1937,NA,FACs for CSC marker followed by Transcriptomics,0.04,0.0032,31709178
ABCA1,HTM,Up,29,Luminal A Breast Cancer,Adenocarcinoma,MCF7,NA,SFA followed by Transcriptomics,0.04,0.0032,31501409
ABCA1,HTM,Up,29,Bladder Cancer,Carcinoma,T24,NA,SFA followed by Transcriptomics,0.04,0.0032,30592142
ABCA12,HTM,Up,14637,Non Small Cell Lung Cancer,Carcinoma,A549,NA,SFA followed by Transcriptomics,0.04,0.0042,29316740
